"","X","age","gender","degree","reason_PhD","studying_in_your_home_country","current_living_location","reasons_to_study_outside_your_country_of_upbringing","job_alongside_studies","main_reason_job","reasons_for_having_a_job","satisfaction_decision","satisfaction_now","how_does_your_program_compare_to_your_expectations","supervisor_relationship","contact_hours","work_life_balance","PhD_weekly_hours","university_supports_work_life_balance","university_has_long_hours_culture","have_you_sought_help_for_anxiety_or_depression_caused_by_your_PhD","did_you_seek_help_within_your_institution","mental_health_and_wellbeing_services_at_my_uni_are_appropriate_to_PhD_students_needs","supervisor_awareness_of_mental_health_services","university_offers_adequate_one_to_one_mental_health_support","university_offers_a_variety_of_support_resources","experienced_bullying_in_PhD","who_was_the_perpetrator","able_to_speak_out_about_bullying_experiences","experienced_discrimination_or_harrasment","which_have_you_experienced"
"18",18,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Asia (including Middle East)","Higher salaries post-study","No",NA,"1st","Very satisfied","Improved slightly","Meets original expectations","6","Less than an hour","7 = Extremely satisfied","61-70 hours","Somewhat agree","Strongly disagree","No",NA,"Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Yes","Another student","No","Yes","Racial discrimination or harassment"
"19",19,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","North or Central America","Higher salaries post-study","No",NA,"3rd","Somewhat satisfied","Improved greatly","Exceeds original expectations","7 = Extremely satisfied","Between one and three hours","6","31-40 hours","Neither agree nor disagree","Somewhat disagree","Yes","Yes, it was helpful","Strongly agree","Strongly agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"20",20,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"No",NA,"4th","Somewhat satisfied","Worsened a little","Does not meet original expectations","1 = Not at all satisfied","Other, please specify","6","51-60 hours","Strongly disagree","Strongly agree","Yes","I wanted to, but there was none available","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"Yes",NA
"21",21,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"Yes","To make myself more attractive to future employers","1st","Very satisfied","Stayed the same","Meets original expectations","7 = Extremely satisfied","Less than an hour","5","41-50 hours","Somewhat disagree","Strongly disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","No",NA,NA,"No",NA
"22",22,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"No",NA,"4th","Somewhat satisfied","Improved slightly","Meets original expectations","3","Between one and three hours","1 = Not at all satisfied","71-80 hours","Somewhat agree","Somewhat agree","No",NA,"Somewhat agree","Strongly agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"23",23,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"3rd","Very satisfied","Improved greatly","Exceeds original expectations","7 = Extremely satisfied","Between one and three hours","7 = Extremely satisfied","41-50 hours","Neither agree nor disagree","Somewhat disagree","No",NA,"Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"24",24,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","North or Central America","To study at a specific university","No",NA,"5th","Very satisfied","Stayed the same","Meets original expectations","4 = Neither satisfied nor dissatisfied","Between one and three hours","3","71-80 hours","Somewhat disagree","Somewhat agree","Yes","Other, please specify","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","No",NA,NA,"No",NA
"25",25,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"Yes","To help make ends meet","1st","Somewhat satisfied","Worsened a little","Meets original expectations","6","More than three hours","2","61-70 hours","Strongly disagree","Neither agree nor disagree","No",NA,"Strongly disagree","Somewhat agree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"26",26,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"11th","Very satisfied","Worsened a little","Meets original expectations","6","Less than an hour","6","51-60 hours","Somewhat agree","Somewhat agree","No",NA,"Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"27",27,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Lack of funding opportunities in my home country","No",NA,NA,"Very satisfied","Improved slightly","Exceeds original expectations","6","Between one and three hours","4 = Neither satisfied nor dissatisfied","41-50 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","No",NA,NA,"No",NA
"28",28,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","Europe",NA,"No",NA,"1st","Very dissatisfied","Significantly worsened","Does not meet original expectations","1 = Not at all satisfied","Between one and three hours","1 = Not at all satisfied","51-60 hours","Somewhat disagree","Somewhat agree","Prefer not to say",NA,"Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Yes","Supervisor","No","No",NA
"29",29,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"2nd","Very satisfied","Improved slightly","Exceeds original expectations","7 = Extremely satisfied","More than three hours","6","More than 80 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"30",30,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"Yes","To make myself more attractive to future employers","4th","Somewhat satisfied","Significantly worsened","Meets original expectations","4 = Neither satisfied nor dissatisfied","More than three hours","1 = Not at all satisfied","71-80 hours","Strongly disagree","Strongly agree","Yes","No, I sought help elsewhere","Strongly disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Yes","Supervisor","Yes","Yes","Age discrimination"
"31",31,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Europe",NA,"No",NA,"1st","Somewhat satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Between one and three hours","3","61-70 hours","Strongly disagree","Somewhat agree","No",NA,"Prefer not to say","Strongly disagree","Strongly disagree","Somewhat disagree","No",NA,NA,"No",NA
"32",32,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","South America",NA,"No",NA,"1st","Somewhat satisfied","Stayed the same","Meets original expectations","7 = Extremely satisfied","Between one and three hours","5","41-50 hours","Somewhat disagree","Strongly disagree","No",NA,"Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","No",NA,NA,"No",NA
"33",33,"25 - 34","Female (including trans female)","Dual doctorate degree (MD-PhD, PhD-PhD or other combination)","No job I want is available without a PhD","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"7th","Neither satisfied nor dissatisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","Between one and three hours","1 = Not at all satisfied","More than 80 hours","Strongly disagree","Strongly agree","Yes","Yes, it was helpful","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"34",34,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","Europe","Lack of funding opportunities in my home country","No",NA,"1st","Neither satisfied nor dissatisfied","Worsened a little","Meets original expectations","6","Between one and three hours","2","61-70 hours","Neither agree nor disagree","Neither agree nor disagree","Yes","No, I sought help elsewhere","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Prefer not to say",NA,NA,"No",NA
"35",35,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","Asia (including Middle East)","Lack of quality PhD programmes in my home country","No",NA,"5th","Somewhat satisfied","Improved slightly","Meets original expectations","5","Less than an hour","3","More than 80 hours","Somewhat agree","Somewhat disagree","No",NA,"Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"36",36,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","North or Central America",NA,"No",NA,NA,"Somewhat satisfied","Stayed the same","Meets original expectations","6","Between one and three hours","6","51-60 hours","Somewhat agree","Somewhat agree","No",NA,"Somewhat agree","Strongly disagree","Somewhat agree","Neither agree nor disagree","No",NA,NA,"No",NA
"37",37,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"1st","Somewhat satisfied","Worsened a little","Does not meet original expectations","7 = Extremely satisfied","Between one and three hours","1 = Not at all satisfied","More than 80 hours","Prefer not to say","Prefer not to say","No",NA,"Neither agree nor disagree","Strongly disagree","Somewhat agree","Prefer not to say","No",NA,NA,"No",NA
"38",38,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"No",NA,"2nd","Very satisfied","Improved slightly","Exceeds original expectations","7 = Extremely satisfied","More than three hours","4 = Neither satisfied nor dissatisfied","51-60 hours","Neither agree nor disagree","Somewhat disagree","Yes","Other, please specify","Somewhat agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","No",NA,NA,"No",NA
"39",39,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","No","North or Central America","To study at a specific university","No",NA,"1st","Somewhat satisfied","Improved slightly","Meets original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","5","31-40 hours","Somewhat agree","Strongly agree","Yes","Yes, but I didn’t feel supported","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"40",40,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","More job opportunities post-study","No",NA,"1st","Somewhat satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Less than an hour","3","31-40 hours","Neither agree nor disagree","Somewhat disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"41",41,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"1st","Somewhat satisfied","Improved slightly","Meets original expectations","6","Less than an hour","5","51-60 hours","Somewhat agree","Neither agree nor disagree","No",NA,"Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Yes","Postdoc","No","No",NA
"42",42,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"2nd","Very satisfied","Worsened a little","Meets original expectations","6","Less than an hour","3","71-80 hours","Somewhat disagree","Somewhat agree","Yes","I wanted to, but there was none available","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","No",NA,NA,"No",NA
"43",43,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","North or Central America","To study at a specific university","Yes","To help make ends meet","2nd","Very satisfied","Improved slightly","Meets original expectations","6","Less than an hour","5","31-40 hours","Somewhat agree","Neither agree nor disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","No",NA,NA,"No",NA
"44",44,"35 - 44","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"Yes","Other, please specify","2nd","Very satisfied","Improved slightly","Meets original expectations","6","Less than an hour","7 = Extremely satisfied","Less than 11 hours","Strongly agree","Somewhat disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","No",NA,NA,"No",NA
"45",45,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"7th","Somewhat satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Between one and three hours","6","31-40 hours","Somewhat agree","Somewhat agree","Yes","Yes, it was helpful","Somewhat agree","Prefer not to say","Strongly agree","Somewhat agree","No",NA,NA,"No",NA
"46",46,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"No",NA,"10th","Very dissatisfied","Significantly worsened","Does not meet original expectations","7 = Extremely satisfied","Between one and three hours","1 = Not at all satisfied","51-60 hours","Somewhat agree","Neither agree nor disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"47",47,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","North or Central America","Higher salaries post-study","No",NA,"3rd","Somewhat satisfied","Worsened a little","Meets original expectations","6","More than three hours","5","61-70 hours","Somewhat agree","Neither agree nor disagree","Yes","No, I sought help elsewhere","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","No",NA,NA,"Yes","Racial discrimination or harassment"
"48",48,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","No","Asia (including Middle East)","Lack of PhD programmes in my subject of choice","No",NA,"4th","Neither satisfied nor dissatisfied","Significantly worsened","Does not meet original expectations","3","Less than an hour","2","51-60 hours","Somewhat disagree","Strongly agree","No",NA,"Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"49",49,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","North or Central America",NA,"No",NA,"5th","Somewhat satisfied","Improved greatly","Meets original expectations","6","Less than an hour","6","41-50 hours","Somewhat disagree","Somewhat agree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"50",50,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"No",NA,"3rd","Very satisfied","Worsened a little","Meets original expectations","6","Less than an hour","4 = Neither satisfied nor dissatisfied","51-60 hours","Neither agree nor disagree","Somewhat agree","No",NA,"Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","No",NA,NA,"No",NA
"51",51,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","North or Central America","Family reasons","No",NA,"4th","Somewhat dissatisfied","Significantly worsened","Does not meet original expectations","3","Less than an hour","1 = Not at all satisfied","61-70 hours","Neither agree nor disagree","Somewhat agree","Yes","Yes, but I didn’t feel supported","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly agree","No",NA,NA,"No",NA
"52",52,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","North or Central America",NA,"Yes","To make myself more attractive to future employers",NA,"Somewhat satisfied","Improved slightly","Meets original expectations","N/A","Less than an hour","3","21-30 hours","Neither agree nor disagree","Somewhat agree","No",NA,"Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","No",NA,NA,"No",NA
"53",53,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"7th","Somewhat satisfied","Significantly worsened","Does not meet original expectations","6","Less than an hour","1 = Not at all satisfied","61-70 hours","Strongly disagree","Strongly agree","Yes","Yes, but I didn’t feel supported","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly agree","No",NA,NA,"No",NA
"54",54,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Asia (including Middle East)",NA,"Yes","To help make ends meet","4th","Somewhat dissatisfied","Worsened a little","Does not meet original expectations","2","Less than an hour","4 = Neither satisfied nor dissatisfied","31-40 hours","Neither agree nor disagree","Neither agree nor disagree","Yes","No, I sought help elsewhere","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Prefer not to say",NA,NA,"Yes",NA
"55",55,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Europe",NA,"No",NA,"4th","Somewhat satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","More than three hours","1 = Not at all satisfied","61-70 hours","Somewhat disagree","Strongly agree","No",NA,"Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","No",NA,NA,"No",NA
"56",56,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","North or Central America",NA,"No",NA,"5th","Very satisfied","Improved slightly","Meets original expectations","5","Between one and three hours","4 = Neither satisfied nor dissatisfied","41-50 hours","Somewhat agree","Neither agree nor disagree","Yes","Yes, it was helpful","Somewhat agree","Strongly disagree","Somewhat agree","Strongly agree","Yes","Other academic staff member","No","No",NA
"57",57,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","North or Central America","To experience another culture","No",NA,"3rd","Neither satisfied nor dissatisfied","Stayed the same","Meets original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","31-40 hours","Neither agree nor disagree","Neither agree nor disagree","Prefer not to say",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"58",58,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","North or Central America","Higher salaries post-study","Yes","To develop additional skills","3rd","Neither satisfied nor dissatisfied","Worsened a little","Meets original expectations","4 = Neither satisfied nor dissatisfied","Between one and three hours","4 = Neither satisfied nor dissatisfied","Less than 11 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"59",59,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"Yes","To help make ends meet","6th","Very satisfied","Improved greatly","Does not meet original expectations","6","Between one and three hours","1 = Not at all satisfied","51-60 hours","Somewhat disagree","Strongly agree","No",NA,"Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","No",NA,NA,"No",NA
"60",60,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","No","North or Central America","More job opportunities post-study","No",NA,"1st","Somewhat satisfied","Worsened a little","Meets original expectations","4 = Neither satisfied nor dissatisfied","Between one and three hours","N/A","51-60 hours","Somewhat agree","Somewhat agree","No",NA,"Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Prefer not to say",NA,NA,"Prefer not to say",NA
